,Country,Sector,Industry,Net_Income_Ratio,Operating_Income_Ratio,Gross_Profit_Ratio,EPS,Working_Capital,ROE,PE_Ratio,PB_Ratio,Current_Ratio,Debt_To_Equity,Debt_To_Asset,Dividend_Yield,Market_Capital,Net_Income_Ratio_Ranking,Operating_Income_Ratio_Ranking,Gross_Profit_Ratio_Ranking,EPS_Ranking,Working_Capital_Ranking,ROE_Ranking,PE_Ratio_Ranking,PB_Ratio_Ranking,Current_Ratio_Ranking,Debt_To_Equity_Ranking,Debt_To_Asset_Ranking,Dividend_Yield_Ranking,Market_Capital_Ranking
TBK,US,Financial Services,Banks Regional,8.20863712844,10.5785193494,1.0,2.24651,,0.09196500102106536,17.8276749197185,1.6395221421951331,0.0,6.9490676887792775,0.8741990835715769,,1043703400.4999999,82,58,8,1188,4157,1841,3190,2214,4175,4234,4026,2359,2522
TBKCP,NaN,NaN,NaN,8.20863712844,10.5785193494,1.0,2.24651,,,,,,,,,,82,58,8,1188,4157,4758,4753,4719,4184,4785,4840,2359,4787
EBMT,US,Financial Services,Banks Regional,8.19291635268,10.5259984928,1.0,1.68883,-889566000.0,0.08936453529948463,12.4092305866078,1.1089451247963569,0.019934777339532424,7.665696742534461,0.8846024699789425,0.017841106755774,134913154.9376,83,59,8,1495,3807,1886,2760,1554,4032,4330,4124,1466,3855
FRME,US,Financial Services,Banks Regional,8.12428987798,9.57293879366,1.0,3.18961,-10389275000.0,0.09206034133865341,,,0.01356392039142692,5.973240030294939,0.8565946395570003,,,84,63,8,829,4090,1838,4753,4719,4081,4102,3894,2359,4787
ETB,US,Financial Services,Asset Management,8.088299,0.470133,0.522031,2.51489,,0.16481155311021695,6.2911027407879905,1.0368464134852113,,0.01956700250834409,0.019191482717864788,0.0356660666315358,420443895.732,85,536,1558,1063,4157,923,2147,1431,4184,318,72,874,3126
RFI,US,Financial Services,Asset Management,7.955473,0.714286,0.764378,3.27453,,,,,,,,,,86,266,561,803,4157,4758,4753,4719,4184,4785,4840,2359,4787
FMNB,US,Financial Services,Banks Regional,7.92202038104,9.54253433762,1.0,1.28935,-2124314000.0,0.11947519119037517,12.066511526677854,1.441648771650702,0.010816547095913795,7.182707502948458,0.8777910612545209,0.02442418958031791,431498452.194,87,64,8,1757,3931,1368,2726,2025,4099,4267,4059,1213,3105
LBRDK,United States,Communication Services,Entertainment,7.88855239249,-1.97032101757,1.0,0.65,39994000.0,0.01098768216487035,,,4.294670071669825,0.14889426699385241,0.12959788491541765,,,88,4169,8,2190,2231,2853,4753,4719,787,594,352,2359,4787
LBRDA,US,Communication Services,Entertainment,7.888552,-7.309106,1.0,0.64128,39994000.0,0.01098768216487035,196.96497952497953,2.1641885926306714,4.294670071669825,0.14889426699385241,0.12959788491541765,,23087447040.0,89,4323,8,2195,2231,2853,4439,2577,787,594,352,2359,841
UMBF,US,Financial Services,Banks Regional,7.79245705512,9.14766002367,1.0,4.96233,,0.09346081244916438,13.792321703448273,1.2890415919645186,0.0,9.190664277712129,0.90187097006158,0.0176902883379127,3359809566.9599996,90,65,8,456,4157,1816,2914,1826,4175,4488,4282,1479,1730
